stimulus,mean_g_eigval1,mean_g_eigval2,mean_g_eigval3,mean_g_sum_eigvals,mean_g_linearity,mean_g_planarity,mean_g_sphericity,mean_g_anisotropy,mean_g_omnivariance,mean_g_eigenentropy,mean_g_surface_variation,mean_g_roughness,mean_g_parallelity_x,mean_g_parallelity_y,mean_g_parallelity_z,mean_t_R,mean_t_G,mean_t_B,mean_t_eigval1,mean_t_eigval2,mean_t_eigval3,mean_t_sum_eigvals,mean_t_eigenentropy,std_g_eigval1,std_g_eigval2,std_g_eigval3,std_g_sum_eigvals,std_g_linearity,std_g_planarity,std_g_sphericity,std_g_anisotropy,std_g_omnivariance,std_g_eigenentropy,std_g_surface_variation,std_g_roughness,std_g_parallelity_x,std_g_parallelity_y,std_g_parallelity_z,std_t_R,std_t_G,std_t_B,std_t_eigval1,std_t_eigval2,std_t_eigval3,std_t_sum_eigvals,std_t_eigenentropy
distorted_1.ply,0.248770562103986,0.171537614570558,0.953623872448549,0.307618096306941,0.489436064563833,0.364246267286445,0.938544496797839,0.256903497819179,0.638645134725479,0.349034861685846,0.932230650429681,0.784780388798646,0.348228986504625,0.306333242176823,0.357327968803035,0.241005613193379,0.211098154579988,0.205679668324355,0.753015226838662,0.790129085317177,0.834860027591694,0.751925196079784,0.786733671512263,0.851436616246383,0.85718269430076,0.989155759395257,0.856736690581512,0.814580127601854,0.834980526306911,0.983075002133772,0.983075002133771,0.959850984406866,0.874611121992819,0.978027799198535,0.793342507345945,0.918350017589884,0.923627741010914,0.917658770746133,0.521972795693206,0.529770718076105,0.5346547217038,0.655993736710894,0.656090895732386,0.747888989446394,0.654155300024843,0.699011292291637
distorted_2.ply,0.0350345543570002,0.039830458322367,0.62218812077696,0.0262428033171706,0.22508111137529,0.0425976212533912,0.63248574142339,0.0222062678040377,0.274484439376043,0.0457966023239907,0.629286327142704,0.408979569830102,0.0659076118114559,0.0531144246793987,0.0679404808884097,0.0889013056093563,0.0741959222398837,0.0808486694576025,0.302882704297769,0.482661036119298,0.53520156180619,0.29752665664003,0.339416408046717,0.281642619240784,0.280997651040883,0.538987454427111,0.286270545795503,0.256763704866781,0.25653174693949,0.545725719447979,0.545725719447979,0.340695417407229,0.284084293881139,0.537736701227402,0.413847352121909,0.386666790234793,0.405073334080042,0.387418042965658,0.367271983855751,0.372619792172503,0.393742413386331,0.354269094864128,0.54038315292282,0.68481235017893,0.354041563485867,0.364030066837007
distorted_3.ply,0.0215040854944314,0.0301841951811185,0.308005557147831,0.0194461059534389,0.196717758999424,0.0327348234656005,0.314305785753384,0.00593318417936956,0.111795338188705,0.0289039771883467,0.316274810694006,0.232055758936841,0.0576742082398289,0.0455211743400676,0.061193211232518,0.0354238903261355,0.0283997769325902,0.0324235888471,0.117016603417527,0.321973524538426,0.51936447384767,0.114328710362269,0.136510120801422,0.2547361638681,0.253960253283563,0.374866197799358,0.24660533353569,0.241929400759091,0.241609893313474,0.38037022661725,0.38037022661725,0.288734371118095,0.245619433063985,0.380910465572909,0.243840419345157,0.269031712625794,0.285702864501106,0.270011264307993,0.244943466761279,0.24253461641394,0.267003856288618,0.206694842870076,0.390114599160428,0.614370473624605,0.206452583052293,0.211478416434887
